,series_title,series_episodes,my_watched_episodes,my_status,series_animedb_id,series_type
0,,,,,,
1,Akagami no Shirayuki-hime,12,0,Plan to Watch,30123,TV
2,Angel Beats!,13,0,Plan to Watch,6547,TV
3,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,11,0,Plan to Watch,9989,TV
4,Bokutachi wa Benkyou ga Dekinai,13,13,Completed,38186,TV
5,Bokutachi wa Benkyou ga Dekinai!,13,13,Completed,40004,TV
6,Chuunibyou demo Koi ga Shitai!,12,0,Plan to Watch,14741,TV
7,Code Geass: Hangyaku no Lelouch,25,25,Completed,1575,TV
8,Code Geass: Hangyaku no Lelouch R2,25,25,Completed,2904,TV
9,Dagashi Kashi,12,0,Plan to Watch,31636,TV
10,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,13,13,Completed,28121,TV
11,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,12,12,Completed,32887,TV
12,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,12,12,Completed,37347,TV
13,Fullmetal Alchemist,51,51,Completed,121,TV
14,Fullmetal Alchemist: Brotherhood,64,64,Completed,5114,TV
15,Gakuen Babysitters,12,12,Completed,35222,TV
16,Gochuumon wa Usagi Desu ka?,12,0,Plan to Watch,21273,TV
17,Hibike! Euphonium,13,0,Plan to Watch,27989,TV
18,Hibike! Euphonium 2,13,0,Plan to Watch,31988,TV
19,Himouto! Umaru-chan,12,12,Completed,28825,TV
20,Himouto! Umaru-chan R,12,12,Completed,35376,TV
21,Hitoribocchi no Marumaru Seikatsu,12,12,Completed,37614,TV
22,Hotaru no Haka,1,1,Completed,578,Movie
23,Howl no Ugoku Shiro,1,1,Completed,431,Movie
24,Irozuku Sekai no Ashita kara,13,0,Plan to Watch,37497,TV
25,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,12,12,Completed,38790,TV
26,Jujutsu Kaisen (TV),24,20,Watching,40748,TV
27,K-On!,13,13,Completed,5680,TV
28,K-On!!,26,26,Completed,7791,TV
29,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,12,12,Completed,37999,TV
30,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,12,12,Completed,40591,TV
31,Kaibutsu Oujo,25,0,Plan to Watch,2130,TV
32,Kami no Tou,13,13,Completed,40221,TV
33,Kamisama Hajimemashita,13,0,Plan to Watch,14713,TV
34,Kanojo to Kanojo no Neko,1,0,Plan to Watch,1004,OVA
35,Karakai Jouzu no Takagi-san,12,12,Completed,35860,TV
36,Karakai Jouzu no Takagi-san 2,12,12,Completed,38993,TV
37,Kekkai Sensen,12,12,Completed,24439,TV
38,Kekkai Sensen & Beyond,12,12,Completed,34451,TV
39,Kimetsu no Yaiba,26,26,Completed,38000,TV
40,Kimi ni Todoke,25,25,Completed,6045,TV
41,Kimi ni Todoke 2nd Season,12,4,Watching,9656,TV
42,Kimi no Na wa.,1,1,Completed,32281,Movie
43,Kobayashi-san Chi no Maid Dragon S,0,0,Plan to Watch,39247,TV
44,Kokoro Connect,13,0,Plan to Watch,11887,TV
45,Kono Subarashii Sekai ni Shukufuku wo!,10,10,Completed,30831,TV
46,Kono Subarashii Sekai ni Shukufuku wo! 2,10,10,Completed,32937,TV
47,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,1,1,Completed,34626,OVA
48,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,1,1,Completed,32380,OVA
49,Kono Subarashii Sekai ni Shukufuku wo!: Kurenai Densetsu,1,1,Completed,38040,Movie
50,Kyoukai no Kanata,12,0,Plan to Watch,18153,TV
51,Made in Abyss,13,13,Completed,34599,TV
52,Majo no Takkyuubin,1,1,Completed,512,Movie
53,Mikakunin de Shinkoukei,12,12,Completed,20541,TV
