,Title,Genres,Stress Level,Calm Level,Neutral Level
0,Akagami no Shirayuki-hime,"['Fantasy', 'Romance', 'Drama', 'Shoujo']",1,3,0
1,Angel Beats!,"['Action', 'Comedy', 'Drama', 'School', 'Supernatural']",2,3,0
2,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,"['Slice of Life', 'Supernatural', 'Drama']",2,1,0
3,Chuunibyou demo Koi ga Shitai!,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",1,4,0
4,Dagashi Kashi,"['Comedy', 'Shounen', 'Slice of Life']",1,2,0
5,Gochuumon wa Usagi Desu ka?,"['Slice of Life', 'Comedy']",0,2,0
6,Hibike! Euphonium,"['Music', 'School', 'Drama']",1,2,0
7,Hibike! Euphonium 2,"['Music', 'Drama', 'School']",1,2,0
8,Irozuku Sekai no Ashita kara,"['Drama', 'Magic', 'Romance', 'School']",1,2,1
9,Kaibutsu Oujo,"['Action', 'Comedy', 'Supernatural', 'Horror', 'Vampire', 'Shounen']",3,2,1
10,Kamisama Hajimemashita,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",1,4,1
11,Kanojo to Kanojo no Neko,"['Drama', 'Psychological', 'Romance', 'Slice of Life']",2,2,0
12,Kobayashi-san Chi no Maid Dragon S,"['Slice of Life', 'Comedy', 'Fantasy']",0,3,0
13,Kokoro Connect,"['Slice of Life', 'Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",2,4,0
14,Kyoukai no Kanata,"['Slice of Life', 'Supernatural', 'Fantasy']",1,2,0
15,Mobile Suit Gundam Unicorn,"['Action', 'Drama', 'Mecha', 'Military', 'Sci-Fi', 'Space']",5,1,0
16,Mushoku Tensei: Isekai Ittara Honki Dasu,"['Drama', 'Magic', 'Ecchi', 'Fantasy']",1,2,1
17,Nichijou,"['Slice of Life', 'Comedy', 'School', 'Shounen']",1,3,0
18,Rokka no Yuusha,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Mystery']",1,3,1
19,Shikioriori,"['Drama', 'Romance', 'Slice of Life']",1,2,0
20,Shirobako,"['Comedy', 'Drama']",1,1,0
21,Shoujo☆Kageki Revue Starlight,"['Music', 'School']",0,2,0
22,Sora yori mo Tooi Basho,"['Adventure', 'Comedy', 'Drama']",1,2,0
23,Stranger: Mukou Hadan,"['Action', 'Adventure', 'Historical', 'Samurai']",2,2,0
24,Summer Wars,"['Sci-Fi', 'Comedy']",1,1,0
25,Suzumiya Haruhi no Yuuutsu (2009),"['Comedy', 'Mystery', 'Parody', 'Romance', 'School', 'Sci-Fi', 'Slice of Life']",2,5,0
26,Tanaka-kun wa Itsumo Kedaruge,"['Slice of Life', 'Comedy', 'School']",0,3,0
27,To LOVE-Ru,"['Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'School', 'Shounen']",2,5,0
28,Zombieland Saga: Revenge,"['Music', 'Comedy', 'Supernatural']",1,2,0
